Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
22,Lund_01228,Building,Steeple,Spire,Landmark,Church,Place of worship,Architecture,Chapel,Parish,Medieval architecture,Lund,Malte Lewan, Feb 2017
43,Lund_02401,Natural landscape,Sky,Water,Winter,Natural environment,Atmospheric phenomenon,Tree,Freezing,Cloud,Wetland,Nobbel6vs mosse,i\ 1T T, Feb 2014
105,Lund_01242,Building,Estate,Mansion,Palace,Landmark,Architecture,Stately home,Official residence,Château,Historic house,Lundagérd 9,Zoltan Botka, Feb 2018
245,Lund_02131,Medieval architecture,Architecture,Building,Tree,Church,Parish,Grass,Place of worship,Manor house,Estate,Lundagérd {,yﬂ Bogdan Kostiv, Feb 2018
309,Lund_02531,Water,Natural landscape,Water resources,Sky,Reflection,Natural environment,River,Bank,Morning,Wetland,L TR DR,L 1T T, Feb 2014
482,Lund_02673,Natural environment,Natural landscape,Sky,Land lot,Pasture,Plain,Water,Wetland,Field,Tree,|G AT,L 1T T, Feb 2014
651,Lund_02737,Natural landscape,Sky,Cloud,Natural environment,Land lot,Tree,Grass,Nature reserve,Wilderness,Rural area,Stadsodlingen pa Br,g Mats Lund, Feb 2016
737,Lund_01412,Statue,Monument,Landmark,Memorial,Sculpture,Tree,Architecture,Building,Plant,Art,Tegnérsplatsen,6 IR DL, Feb 2015
787,Lund_01305,Classical architecture,Building,Palace,Landmark,Architecture,Facade,Mansion,Official residence,Estate,Stately home,5 Joseph Noussair,5 Joseph Noussair, Feb 2017
849,Lund_03093,Sky,Morning,Grass,Evening,Rural area,Tree,Horizon,Landscape,Cloud,Pasture,|G AT,L Bengt Jiirs, Feb 2014
953,Lund_02152,Town,Landmark,Building,Architecture,Street,City,Infrastructure,House,Road,Facade,Lund Cathedral,M. Rasmussen, Feb 2018
964,Lund_02123,Town,Neighbourhood,Building,Landmark,City,Human settlement,Architecture,Residential area,Property,Plaza,Bantorget,Wai Hung Neko%, Feb 2017
1051,Lund_01175,Landmark,Architecture,Building,Estate,Mansion,Stately home,Château,Grass,Tree,House,Lund Cathedral,M. Rasmussen, Feb 2018
1053,Lund_00851,Building,Landmark,Architecture,Estate,Tree,House,Mansion,Stately home,Sky,Castle,Lundagérd,@ Carsten Andreas, Feb 2018
1267,Lund_00661,Estate,Building,Mansion,Property,House,Palace,Architecture,Landmark,Classical architecture,Home,Lundagérd {,fm Bogdan Kostiv, Feb 2018
1603,Lund_02761,Road,Land lot,Fence,Rural area,Trail,Grass,Tree,Pasture,Landscape,Thoroughfare,Rinnebéck Gorge,Anders Nilsson, Feb 2017
1658,Lund_01279,Estate,Building,Property,Landmark,Architecture,Grass,Waterway,Tree,Stately home,House,Lundagérd {,Bogdan Kostiv, Feb 2018
1671,Lund_02135,Fountain,Water,Botanical garden,Botany,Water feature,Garden,Tree,Reflecting pool,Architecture,Park,Lundagérd 9,Kathi Pullan, Feb 2006
1892,Lund_02873,Classical architecture,Building,Palace,Landmark,Architecture,Facade,Mansion,Official residence,Estate,Stately home,Joseph Noussair,Joseph Noussair, Feb 2017
2075,Lund_01209,Classical architecture,Building,Palace,Landmark,Architecture,Facade,Mansion,Official residence,Estate,Stately home,Lund,Joseph Noussair, Feb 2017
2080,Lund_01842,Building,Town,Property,Human settlement,City,Architecture,Vehicle,Car,Facade,Neighbourhood,Lundagérd {,yﬂ Bogdan Kostiv, Feb 2018
2097,Lund_02160,Classical architecture,Building,Landmark,Architecture,Facade,Palace,City,House,Column,Mansion,Lundagérd 8,@ «athi pullan, Feb 2006
2255,Lund_02535,Natural landscape,Water,Natural environment,Floodplain,Sky,Winter,Tree,Bank,Wetland,River,Nobbel6vs mosse,L 1T T, Feb 2014
2358,Lund_02636,Water,Waterway,Natural landscape,Atmospheric phenomenon,Watercourse,Winter,Canal,Tree,Lane,Road,L TR DS,L =1 Te i), Feb 2014
2409,Lund_00330,Landmark,Building,Palace,Architecture,Estate,Classical architecture,Mansion,Sky,Official residence,House,Lundagérd ¢,i:%‘ } (N1 ET] 9, Feb 2012
2464,Lund_01570,Building,Architecture,Landmark,Classical architecture,Palace,Facade,Official residence,City,Mansion,House,Lundagérd 9,koyel pal, Feb 2018
2551,Lund_02610,Natural landscape,Natural environment,Fen,Marsh,Wetland,Waterway,Tree,Grassland,Grass,Nature reserve,|G AT,|G AT, Feb 2017
2615,Lund_02742,Grassland,Field,Pasture,Natural landscape,Sky,Green,Natural environment,Land lot,Plain,Grass,|G AT,|G AT, Feb 2017
2657,Lund_02322,Lane,Urban area,Road,Metropolitan area,Transport,Asphalt,Street,Town,Building,City,(o ST BTG R,Rasmus Johans:, Feb 2017
