,Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
0,0,Lund_01611,Town,Landmark,City,Building,Human settlement,Street,Architecture,Road,Neighbourhood,Plaza,[T TV HTET 3 T,a Abubakar M, Aug 2017,"Town,Landmark,City,Building,Human settlement,Street,Architecture,Road,Neighbourhood,Plaza"
1,1,Lund_01120,Landmark,Medieval architecture,Architecture,Building,Sky,Place of worship,Church,Facade,Classical architecture,Historic site,[T L He G L T,@ Sumeet Ranjan S, May 2017,"Landmark,Medieval architecture,Architecture,Building,Sky,Place of worship,Church,Facade,Classical architecture,Historic site"
2,2,Lund_01374,Property,House,Cottage,Building,Roof,Home,Farmhouse,Rural area,Architecture,Real estate,Kulturen 8,@ PP\, Jul 2016,"Property,House,Cottage,Building,Roof,Home,Farmhouse,Rural area,Architecture,Real estate"
3,3,Lund_02600,Tree,Green,Property,Residential area,Road,Public space,Daytime,Grass,Asphalt,Woody plant,Lund 9,@ David Bjarup, Oct 2016,"Tree,Green,Property,Residential area,Road,Public space,Daytime,Grass,Asphalt,Woody plant"
4,4,Lund_00360,Building,Estate,Property,Mansion,Stately home,Château,Architecture,Manor house,Historic house,Medieval architecture,Underground Street |,Underground Street |, Jul 2017,"Building,Estate,Property,Mansion,Stately home,Château,Architecture,Manor house,Historic house,Medieval architecture"
5,5,Lund_02357,Nature reserve,Land lot,Cottage,Rural area,Roof,Grass,Yard,Farm,Backyard,Shed,L TR TR,Natalia Avramch, Jul 2017,"Nature reserve,Land lot,Cottage,Rural area,Roof,Grass,Yard,Farm,Backyard,Shed"
6,6,Lund_00981,Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Leaf,Spring,Plant,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018,"Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Leaf,Spring,Plant"
7,7,Lund_02161,Building,Architecture,Town,Landmark,Neighbourhood,Facade,City,Mixed-use,Medieval architecture,Apartment,Bantorget 8,Bantorget 8, Mar 2017,"Building,Architecture,Town,Landmark,Neighbourhood,Facade,City,Mixed-use,Medieval architecture,Apartment"
8,8,Lund_01805,Sky,Property,Estate,Landmark,House,Architecture,Building,Grass,Cloud,Home,Stadsparken,Alexandre Smirn, Oct 2017,"Sky,Property,Estate,Landmark,House,Architecture,Building,Grass,Cloud,Home"
9,9,Lund_00474,Castle,Medieval architecture,Building,Property,Architecture,Château,Stately home,Estate,Wall,Fortification,Lundagérd,"C"":} Leszek A Gasien", Jul 2017,"Castle,Medieval architecture,Building,Property,Architecture,Château,Stately home,Estate,Wall,Fortification"
10,10,Lund_02497,Natural landscape,Geological phenomenon,Land lot,Rural area,Grass,Pasture,Bank,Ditch,Hill,Soil,Rinnebick Gorge,{5@ (V=G, Jan 2018,"Natural landscape,Geological phenomenon,Land lot,Rural area,Grass,Pasture,Bank,Ditch,Hill,Soil"
11,11,Lund_02579,Nature,Natural landscape,Land lot,Tree,Atmospheric phenomenon,Natural environment,Pasture,Grass,Nature reserve,Rural area,Nobbelbvs mosse,Q Peter Nordensva, Aug 2018,"Nature,Natural landscape,Land lot,Tree,Atmospheric phenomenon,Natural environment,Pasture,Grass,Nature reserve,Rural area"
12,12,Lund_02806,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,Cathedral,Historic site,[T T VT,@ Adrian Popescu, Sep 2016,"Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,Cathedral,Historic site"
13,13,Lund_03015,Supermarket,Retail,Product,Building,Grocery store,Convenience store,Outlet store,Aisle,Marketplace,Inventory,(o ST BTG R,LGRSl,,"Supermarket,Retail,Product,Building,Grocery store,Convenience store,Outlet store,Aisle,Marketplace,Inventory"
14,14,Lund_00296,Landmark,Sky,Property,Architecture,Building,House,Town,Tree,Estate,Urban area,Lundagérd,ﬁg‘ Nicolds Lundin, May 2017,"Landmark,Sky,Property,Architecture,Building,House,Town,Tree,Estate,Urban area"
15,15,Lund_00646,Body of water,Water resources,Stream,Watercourse,Natural landscape,Waterway,Water,River,Stream bed,Arroyo,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017,"Body of water,Water resources,Stream,Watercourse,Natural landscape,Waterway,Water,River,Stream bed,Arroyo"
16,16,Lund_00903,Building,Landmark,Property,Estate,Architecture,Mansion,Palace,Classical architecture,Official residence,House,Lundagérd 9,.@ UIf Larsson, Sep 2018,"Building,Landmark,Property,Estate,Architecture,Mansion,Palace,Classical architecture,Official residence,House"
17,17,Lund_01571,Landmark,Building,Mansion,Architecture,Estate,Stately home,Botany,Palace,Spring,House,Lundagérd 9,Vanja Matic, May 2017,"Landmark,Building,Mansion,Architecture,Estate,Stately home,Botany,Palace,Spring,House"
18,18,Lund_00774,Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,Facade,Historic house,Lundagérd,U\ G LIEEFLE RV, Jun 2018,"Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,Facade,Historic house"
