,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
0,Lund_00774,Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,Facade,Historic house,Lundagérd,U\ G LIEEFLE RV, Jun 2018,"Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,Facade,Historic house"
1,Lund_02886,Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,Pond,Water feature,Tree,Park,Lundagérd ¢,a Kiryl Shantyka, Jun 2017,"Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,Pond,Water feature,Tree,Park"
2,Lund_02365,Crowd,Community,Competition event,Spring,Event,Recreation,Team,Grassland,Vehicle,Lawn,Klostergérdens IP,il VPN YWV 1o 3 o)), Jun 2018,"Crowd,Community,Competition event,Spring,Event,Recreation,Team,Grassland,Vehicle,Lawn"
3,Lund_00616,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,Historic site,Lund Cathedral,{‘j Pascal BASROGE, Jun 2018,"Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,Historic site"
4,Lund_01670,Neighbourhood,Building,City,Town,Human settlement,Property,Landmark,Architecture,Public space,Plaza,Lundagérd,Q‘* Alexandra Balab:, Jun 2014,"Neighbourhood,Building,City,Town,Human settlement,Property,Landmark,Architecture,Public space,Plaza"
5,Lund_00468,Landmark,Sky,Architecture,Building,City,Town,Daytime,Human settlement,Facade,Steeple,Lund Cathedral :,@ Jun Luo, Jun 2017,"Landmark,Sky,Architecture,Building,City,Town,Daytime,Human settlement,Facade,Steeple"
6,Lund_02246,Natural landscape,Nature,Vegetation,Bank,River,Water,Rock,Watercourse,Nature reserve,Grass,Rinnebick Gorge 2,Kajsa Anka, Jun 2018,"Natural landscape,Nature,Vegetation,Bank,River,Water,Rock,Watercourse,Nature reserve,Grass"
7,Lund_01470,Architecture,Building,Landmark,Medieval architecture,Arch,Facade,Wall,Cathedral,Place of worship,Tourism,[T T o1 T 1T,Artur Muc, Jun 2010,"Architecture,Building,Landmark,Medieval architecture,Arch,Facade,Wall,Cathedral,Place of worship,Tourism"
8,Lund_00385,Property,Estate,House,Building,Home,Architecture,Tree,Real estate,Residential area,Botany,Kulturen,@ Erik Olausson, Jun 2017,"Property,Estate,House,Building,Home,Architecture,Tree,Real estate,Residential area,Botany"
9,Lund_01884,Building,Landmark,Architecture,Town,Stately home,City,Facade,Palace,Sky,Estate,University Library,R G074, Jun 2018,"Building,Landmark,Architecture,Town,Stately home,City,Facade,Palace,Sky,Estate"
10,Lund_00778,Landmark,Building,Estate,Mansion,Architecture,Palace,Stately home,Official residence,Plaza,Classical architecture,L (LT T,P ) Peter-Michael Wi, Jun 2007,"Landmark,Building,Estate,Mansion,Architecture,Palace,Stately home,Official residence,Plaza,Classical architecture"
11,Lund_00863,Landmark,Architecture,Palace,Building,Mansion,Château,Estate,Stately home,Tourism,Villa,Lundagérd,@ Juca Felix Galino, Jun 2016,"Landmark,Architecture,Palace,Building,Mansion,Château,Estate,Stately home,Tourism,Villa"
12,Lund_00395,Building,Property,Landmark,Architecture,Estate,Mansion,Palace,Official residence,Classical architecture,House,Lundagérd,M Marcel Mannens, Jun 2018,"Building,Property,Landmark,Architecture,Estate,Mansion,Palace,Official residence,Classical architecture,House"
13,Lund_02115,Landmark,Architecture,Building,Church,Sky,Steeple,Place of worship,Medieval architecture,Cathedral,Spire,Lund Cathedral,§ SANDHEEP KUM, Jun 2015,"Landmark,Architecture,Building,Church,Sky,Steeple,Place of worship,Medieval architecture,Cathedral,Spire"
14,Lund_01369,Property,House,Estate,Natural landscape,Tree,Building,Botany,Shrub,Cottage,Garden,Botanical Garden,@. Raphael Libois, Jun 2018,"Property,House,Estate,Natural landscape,Tree,Building,Botany,Shrub,Cottage,Garden"
15,Lund_02050,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Steeple,Classical architecture,Cathedral,Tower,[T T o1 T T T,A  Artur Muc, Jun 2010,"Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Steeple,Classical architecture,Cathedral,Tower"
16,Lund_02848,Estate,Building,Mansion,Palace,Château,Official residence,Stately home,House,Architecture,Manor house,Kulturen,Peter Vang Chris, Jun 2017,"Estate,Building,Mansion,Palace,Château,Official residence,Stately home,House,Architecture,Manor house"
17,Lund_01149,Mansion,Estate,Palace,Building,Architecture,Tree,Tourism,Villa,Château,Photography,Lundagérd,@ Thomas Kamph, Jun 2014,"Mansion,Estate,Palace,Building,Architecture,Tree,Tourism,Villa,Château,Photography"
18,Lund_01506,Building,Classical architecture,Palace,Architecture,Landmark,Estate,Mansion,Château,Official residence,Stately home,University Square,Peter-Michael Wi, Jun 2007,"Building,Classical architecture,Palace,Architecture,Landmark,Estate,Mansion,Château,Official residence,Stately home"
19,Lund_00325,Building,Landmark,Architecture,Sky,Town,Tourism,City,Facade,Tourist attraction,Church,Lund Cathedral,"{:, Pascal BASROGE", Jun 2018,"Building,Landmark,Architecture,Sky,Town,Tourism,City,Facade,Tourist attraction,Church"
20,Lund_00329,Building,Estate,Property,Château,Stately home,Architecture,Palace,Mansion,Tree,Manor house,Bantorget,3% stefanos Karidak, Jun 2017,"Building,Estate,Property,Château,Stately home,Architecture,Palace,Mansion,Tree,Manor house"
21,Lund_01774,Classical architecture,Landmark,Architecture,Building,Monument,Facade,Statue,Sky,Tourist attraction,Column,Lundagérd,‘; Ago Pértelpoeg, Jun 2018,"Classical architecture,Landmark,Architecture,Building,Monument,Facade,Statue,Sky,Tourist attraction,Column"
22,Lund_01153,Building,Estate,Property,Landmark,Mansion,Architecture,Stately home,Palace,House,City,Lundagérd ¢,rsold, Jun 2017,"Building,Estate,Property,Landmark,Mansion,Architecture,Stately home,Palace,House,City"
23,Lund_01610,Town,Building,Architecture,Human settlement,City,Neighbourhood,Sky,Street,Town square,House,Lundagérd 9,A Anon Ymous, Jun 2017,"Town,Building,Architecture,Human settlement,City,Neighbourhood,Sky,Street,Town square,House"
24,Lund_02545,Pasture,Grassland,Grazing,Sheep,Sheep,Herd,Meadow,Rural area,Tree,Grass,Nobbel6vs mosse,BB BB Beigi, Jun 2017,"Pasture,Grassland,Grazing,Sheep,Sheep,Herd,Meadow,Rural area,Tree,Grass"
25,Lund_00268,Building,Property,Architecture,Landmark,Classical architecture,House,Mansion,Estate,Real estate,Facade,Lundagérd,»@ Aktham Yousef, Jun 2018,"Building,Property,Architecture,Landmark,Classical architecture,House,Mansion,Estate,Real estate,Facade"
26,Lund_01341,Property,Estate,Building,Mansion,Palace,Château,Stately home,Manor house,House,Architecture,Lundagérd ¢,prithvi shenoy, Jun 2018,"Property,Estate,Building,Mansion,Palace,Château,Stately home,Manor house,House,Architecture"
27,Lund_02201,Building,Property,Architecture,Facade,City,House,,,,,(KL ETGR T ETY,Dorota Gebusia, Jun 2017,
28,Lund_00921,Building,Estate,Mansion,Property,Palace,Landmark,Official residence,Classical architecture,Architecture,House,Lundagérd,@ Nigel Westwood, Jun 2018,"Building,Estate,Mansion,Property,Palace,Landmark,Official residence,Classical architecture,Architecture,House"
29,Lund_00685,Estate,House,Property,Landmark,Architecture,Sky,Building,Mansion,Home,Grass,Stadsparken 3,[y ’ Tom Black, Jun 2017,"Estate,House,Property,Landmark,Architecture,Sky,Building,Mansion,Home,Grass"
30,Lund_01597,Fountain,Water,Reflecting pool,Landmark,Garden,Water feature,Botany,Botanical garden,Pond,Tree,Lundagérd ¢,ﬁ Kiryl Shantyka, Jun 2017,"Fountain,Water,Reflecting pool,Landmark,Garden,Water feature,Botany,Botanical garden,Pond,Tree"
31,Lund_02237,Building,Convenience store,,,,,,,,,CircleK,g Accede'To Vegar, Jun 2018,
32,Lund_03134,Vegetation,Green,Grass,Land lot,Nature reserve,Natural landscape,Natural environment,Pasture,Plant community,Leaf,Tréffpunkt Linero,‘;G\ DIIEY T, Jun 2017,"Vegetation,Green,Grass,Land lot,Nature reserve,Natural landscape,Natural environment,Pasture,Plant community,Leaf"
33,Lund_02662,Sky,Grass,Physical fitness,Summer,Games,Competition event,Recreation,Sports training,Kettlebell,Cloud,Klostergérdens IP,il VPN CY T 1o (o)), Jun 2017,"Sky,Grass,Physical fitness,Summer,Games,Competition event,Recreation,Sports training,Kettlebell,Cloud"
34,Lund_01194,Transport,Architecture,Mode of transport,Vehicle,Landmark,Building,Town,Bicycle,City,Urban area,[T T o1 T T T,ﬁ Imran Khan, Jun 2017,"Transport,Architecture,Mode of transport,Vehicle,Landmark,Building,Town,Bicycle,City,Urban area"
35,Lund_02443,Natural landscape,Body of water,Natural environment,Marsh,Nature,Freshwater marsh,Sky,Nature reserve,Wetland,Fen,Nobbel6vs mosse,i\ 1T T, Jun 2014,"Natural landscape,Body of water,Natural environment,Marsh,Nature,Freshwater marsh,Sky,Nature reserve,Wetland,Fen"
36,Lund_02396,Transport,Yellow,Building,Sky,Vehicle,Architecture,Landscape,Car,Gasoline,Gas,Netto 3,o Travel to, Jun 2017,"Transport,Yellow,Building,Sky,Vehicle,Architecture,Landscape,Car,Gasoline,Gas"
37,Lund_02449,Body of water,Water resources,Natural landscape,Nature,Riparian zone,River,Water,Watercourse,Bank,Natural environment,(I L L T,@ Thyge Andersen, Jun 2017,"Body of water,Water resources,Natural landscape,Nature,Riparian zone,River,Water,Watercourse,Bank,Natural environment"
38,Lund_01215,Estate,Building,Palace,Mansion,Stately home,Château,Property,Official residence,Manor house,Classical architecture,Kungshuset,Jessica Persson, Jun 2018,"Estate,Building,Palace,Mansion,Stately home,Château,Property,Official residence,Manor house,Classical architecture"
39,Lund_03170,Natural landscape,Sky,Nature,Water,Water resources,Natural environment,River,Cloud,Grass,Tree,&) Mats Syde,&) Mats Syde, Jun 2017,"Natural landscape,Sky,Nature,Water,Water resources,Natural environment,River,Cloud,Grass,Tree"
40,Lund_01988,Landmark,Architecture,Building,Medieval architecture,Place of worship,Cathedral,Gothic architecture,Classical architecture,Facade,Church,[T T o1 T T,@‘}‘; lan Tan §, Jun 2016,"Landmark,Architecture,Building,Medieval architecture,Place of worship,Cathedral,Gothic architecture,Classical architecture,Facade,Church"
41,Lund_00591,Building,Landmark,Palace,Estate,Classical architecture,Architecture,Mansion,Official residence,Stately home,Presidential palace,Lundagérd,@ Sebastian Sese K, Jun 2018,"Building,Landmark,Palace,Estate,Classical architecture,Architecture,Mansion,Official residence,Stately home,Presidential palace"
42,Lund_02719,Community,Grass,Grassland,Spring,Sky,Competition event,Recreation,Park,Lawn,Event,Klostergérdens IP,il VPN YT 1o (o)), Jun 2018,"Community,Grass,Grassland,Spring,Sky,Competition event,Recreation,Park,Lawn,Event"
43,Lund_00974,Building,Architecture,Landmark,Church,Medieval architecture,Sky,Place of worship,Tree,Facade,Cathedral,Lundagérd,& Nicolas Brochu, Jun 2018,"Building,Architecture,Landmark,Church,Medieval architecture,Sky,Place of worship,Tree,Facade,Cathedral"
44,Lund_00604,Building,Landmark,Architecture,Property,Palace,Mansion,House,Estate,Facade,Official residence,Lundagérd,R N Y VBT e, Jun 2011,"Building,Landmark,Architecture,Property,Palace,Mansion,House,Estate,Facade,Official residence"
45,Lund_00532,Building,Estate,Tree,Castle,Architecture,Grass,Sky,Château,Stately home,Cloud,Lundagérd,G Goran Wangenhe, Jun 2017,"Building,Estate,Tree,Castle,Architecture,Grass,Sky,Château,Stately home,Cloud"
