a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02400,Transport,Mode of transport,,,,,,,,,Linero pub & pizzeri,LR R EFA ¢, Apr 2018
Lund_02409,Sky,Tree,Grass,Spring,Cloud,,,,,,Botanical Garden,ag‘:ggﬁ ), Apr 2018
Lund_02834,Landmark,Statue,Building,Estate,Architecture,Monument,Mansion,,,,Lund Cathedral :,Hauke Salmen, Apr 2017
Lund_02447,Transport,Public space,,,,,,,,,Linero pub & pizzeri,LR R EFA ¢, Apr 2018
Lund_02379,Transport,Lane,Road,Asphalt,Town,Street,Vehicle,,,,Klostergérdens IP,M) Matthew H. Motz, Apr 2018
Lund_02680,Residential area,Property,Sky,Architecture,Urban area,Building,Roof,Home,,,Lund Nordanvig,/ isam altaliqani, Apr 2018
Lund_02850,Landmark,Architecture,Building,Water,,,,,,,Botanical Garden,Jens Jgrgen Lykk, Apr 2018
Lund_00418,Building,Architecture,Landmark,Property,Stately home,Medieval architecture,Town,,,,Lund 2016 .4.29 :,& saad al saifi, Apr 2016
Lund_01569,Building,,,,,,,,,,L RN LT,    , Apr 2017
Lund_00026,Building,Landmark,Architecture,Church,,,,,,,"%, Juliane Vigan6","%, Juliane Vigan6", Apr 2018
Lund_00812,Landmark,Building,Classical architecture,Architecture,Property,Estate,Mansion,,,,Lundagérd 8,% V. Jamile, Apr 2009
Lund_02984,Grassland,Plain,Sky,Field,Natural environment,Prairie,Steppe,Natural landscape,Land lot,Pasture,Nobbel6vs mosse,@ Jian Wang, Apr 2017
Lund_00407,Building,Landmark,Architecture,Medieval architecture,Classical architecture,Facade,,,,,Lund Cathedral,A Adeel Tajammul, Apr 2017
Lund_00487,Classical architecture,Architecture,Landmark,Building,Facade,,,,,,Lundagérd,B Bengt Ljungquist, Apr 2018
Lund_01426,Medieval architecture,Historic site,Landmark,Architecture,Place of worship,Building,Ruins,Church,Sky,,Klosterkyrkan ¢,‘ John Eckerdal, Apr 2018
Lund_02472,Sport venue,Stadium,Grass,Baseball field,Plain,Baseball park,Land lot,,,,LELEITT RN {,ﬂ) Mr.Roman Lak, Apr 2017
Lund_00424,Landmark,Building,Architecture,Town,City,Human settlement,Stately home,,,,[T T VT T 01 T,‘? Jefri Tamba, Apr 2018
Lund_00965,Medieval architecture,Landmark,Architecture,Building,Gothic architecture,Cathedral,Place of worship,Classical architecture,Facade,Steeple,[T T o1 T 1T,PRI RN, Apr 2018
Lund_03166,Natural landscape,Nature,Vegetation,Green,Nature reserve,Natural environment,Grass,Tree,Sky,Wilderness,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017
Lund_01286,Restaurant,Building,,,,,,,,,Bo-Agne Jonssol,Bo-Agne Jonssol, Apr 2018
Lund_02861,Estate,Property,Landmark,Building,Architecture,Mansion,,,,,Lundagérd 9,M Maria Klanac, Apr 2018
Lund_01952,Property,Estate,House,Tree,Building,Mansion,Spring,Grass,,,Lundagérd,RGOSR, Apr 2018
Lund_02032,Estate,Property,Grass,House,,,,,,,Stadsparken 9,ﬁ' paul fackler, Apr 2018
Lund_01902,Town,City,Human settlement,Landmark,Town square,Building,Public space,Plaza,Architecture,,Espresso House Stol,ZE N (Pe e, Apr 2018
Lund_02812,Estate,Building,Mansion,Architecture,Landmark,Palace,Property,Stately home,Classical architecture,Sky,R LE O T,R LE O T, Apr 2017
Lund_01429,Body of water,Natural landscape,Water resources,Water,Nature,Bank,Natural environment,Sky,River,Reflection,L TR TR,Emanuel Johans, Apr 2017
Lund_01444,Classical architecture,Architecture,Landmark,Building,Facade,,,,,,Lundagérd 9,IR G, Apr 2018
Lund_02238,Tree,Land lot,,,,,,,,,Shaon Mazi,Shaon Mazi, Apr 2017
Lund_01310,Natural landscape,Nature,Green,Sky,Grassland,Grass,Natural environment,Tree,Pasture,Water,Sankt Hans Hill ¢,AS.7, Apr 2018
Lund_01844,Building,Landmark,Architecture,Medieval architecture,City,Human settlement,Classical architecture,,,,[T e T T T,Marc Fallon, Apr 2017
Lund_02213,Body of water,Natural landscape,Water,Nature,Water resources,River,Watercourse,Sky,Stream,Bank,Rinnebick Gorge,Jacob Gradén, Apr 2017
Lund_00511,Estate,Building,Mansion,Palace,Architecture,Official residence,Stately home,,,,Lundagérd,’ Lisa Vult von Ste, Apr 2017
Lund_00099,House,Property,Architecture,Building,Landmark,Estate,Mansion,,,,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
Lund_00415,Metropolitan area,Urban area,City,Cityscape,Metropolis,Human settlement,Daytime,Aerial photography,Building,Urban design,Beautiful view from *,R Robbert Biere, Apr 2017
Lund_00739,Building,Estate,Mansion,Property,Stately home,Palace,Architecture,,,,Lundagérd,s Jasmine Vaughn, Apr 2017
Lund_00467,Landmark,Building,Architecture,,,,,,,,Lundagérd,D) Dimitris Basinos, Apr 2009
Lund_01053,Landmark,Architecture,Town,Steeple,,,,,,,Kulturen,M Maria Klanac, Apr 2018
Lund_02898,Town,Landmark,Building,Architecture,City,Human settlement,,,,,Lund Cathedral,M Magnus Zimmer, Apr 2018
Lund_01772,Building,,,,,,,,,,Espressohouse Lund,Michael Anderss, Apr 2017
Lund_02291,Body of water,Natural landscape,Water resources,Freshwater marsh,Water,Natural environment,Bank,Fen,Marsh,Nature reserve,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017
Lund_02943,Field,Land lot,Soil,Plain,,,,,,,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017
Lund_01510,Medieval architecture,Landmark,Architecture,Building,Cathedral,Gothic architecture,Facade,Sky,Place of worship,,[T T o1 T 1T,Andrew K, Apr 2017
Lund_02475,Natural landscape,Grassland,Pasture,Trail,Land lot,Road,Grass,,,,Nobbelbvs mosse,g \) Emanuel Johans, Apr 2017
Lund_00885,Public space,Building,Landmark,Daytime,City,Town,Human settlement,Estate,Tree,Campus,Lundagérd,y Jonathan Howes, Apr 2017
Lund_01308,Building,Landmark,Palace,Architecture,Estate,Classical architecture,Stately home,Mansion,Official residence,,Lundagérd,% Onga osborn G, Apr 2016
Lund_01524,Estate,Property,Building,Mansion,Manor house,Château,Architecture,Stately home,,,Lundagérd 9,Adrian Wach, Apr 2014
Lund_01653,Classical architecture,Landmark,Building,Architecture,Palace,Sky,,,,,Lundagérd,Jacek Centkowsl, Apr 2018
Lund_01071,Landmark,Grass,Building,Architecture,Sky,Stately home,College,,,,Lund Cathedral,&) Bjarne Rosengrel, Apr 2017
Lund_01824,Town square,Town,City,Public space,Atmospheric phenomenon,Plaza,Human settlement,Building,,,Stadshall Lund,&) Bjarne Rosengrel, Apr 2017
Lund_00235,Estate,Building,Palace,Mansion,Landmark,Official residence,Stately home,Château,Architecture,,Lundagérd,y Jonathan Howes, Apr 2017
Lund_01413,Estate,Building,Mansion,Landmark,Property,House,Palace,Architecture,Official residence,,Kulturkrogen ¢,Jacen, Apr 2017
Lund_01806,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Cathedral,Facade,Gothic architecture,Town,Place of worship,Lund Cathedral,A Adeel Tajammul, Apr 2017
Lund_00845,Estate,Building,Landmark,Palace,Mansion,Stately home,Architecture,Château,Official residence,,Lundagérd 9,P | Patrik Barnes, Apr 2017
Lund_02547,,,,,,,,,,,Rabysjon och Raby s,§ Anastasia Kantol, Apr 2018
Lund_03160,Nature,Natural landscape,Water,Sky,Vegetation,Highland,Tree,Wilderness,Natural environment,Watercourse,HSB BRF Linero I Lui,9 Travel to, Apr 2017
Lund_01717,Tree,,,,,,,,,,Botanical Garden,S ) Sookyong Lee, Apr 2017
Lund_01056,Water,Water resources,River,Reservoir,Natural environment,Bank,Sky,Lake,,,[T ¢,. Sookyong Lee, Apr 2017
Lund_02302,Body of water,Water resources,Water,Natural landscape,Natural environment,Bank,Reservoir,Fen,Freshwater marsh,Floodplain,Nobbelovs mosse,",‘%, Shaon Mazi", Apr 2017
Lund_02828,Building,Landmark,Architecture,City,Property,Town,Human settlement,Stately home,,,Lundagérd {,"""\ Katerina Morfi .", Apr 2017
Lund_01887,Tree,Spring,Blossom,Natural landscape,Flower,Plant,Grass,Cherry blossom,Sky,,Botanical Garden ¢,Jorgen Grahn, Apr 2017
Lund_00848,Landmark,Building,Sky,Architecture,Town,,,,,,Lund Cathedral :,H ' Hauke Salmen, Apr 2017
Lund_00553,Building,Architecture,,,,,,,,,Akademibokhandeln,g gunvi holmgren, Apr 2017
Lund_01926,Sky,Cloud,Road,Town,,,,,,,0KQ8 Lund Kung Os:,¢ 3 DzH, Apr 2018
Lund_01414,Property,Building,Architecture,Estate,,,,,,,Lundagérd 9,Patrizia Sichi, Apr 2018
Lund_00478,Landmark,Architecture,Public space,,,,,,,,Lundagérd 9,% V. Jamile, Apr 2009
Lund_00576,Estate,Building,Landmark,Mansion,Architecture,Stately home,Sky,Palace,Water,,Lundagérd,@ Bjarne Rosengrel, Apr 2017
