a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00646,Body of water,Water resources,Stream,Watercourse,Natural landscape,Waterway,Water,River,Stream bed,Arroyo,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
Lund_02923,Property,Roof,Building,House,Home,Sky,Architecture,Cottage,Residential area,Facade,bread Lab,Hiisamettin Deni, Nov 2017
Lund_00521,Landmark,Medieval architecture,Building,Castle,Architecture,Estate,Stately home,Sky,Château,Palace,L (LT T,@ BN PN R, Nov 2015
Lund_02190,Natural landscape,Nature,Water,Waterway,Watercourse,River,Stream,Water resources,Bank,Wilderness,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
Lund_02338,Pasture,Grass,Tree,Grass family,Geological phenomenon,Rural area,Hill,Land lot,Landscape,Plant,Rinnebidck Gorge,a Daniel Nilsson, Nov 2017
Lund_02187,Body of water,Natural landscape,Water resources,Waterway,Water,Watercourse,River,Nature,Canal,Bank,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
Lund_02244,Grass,Architecture,Property,Sky,Land lot,Lawn,Building,House,Estate,Plant,Klostergérdens IP,Jack Forsberg, Nov 2016
Lund_02852,Building,Architecture,Classical architecture,Landmark,House,Mansion,Estate,Palace,Facade,Courthouse,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
Lund_01971,Building,Architecture,Wall,Place of worship,Sky,Steeple,Tourism,Facade,City,Medieval architecture,Café Ariman ¢,' Krist Kogi, Nov 2017
Lund_00038,Spire,Steeple,Landmark,Tower,Architecture,Sky,Building,Church,Tree,Place of worship,Lund - Nov 2017,M) Manos Orfanos, Nov 2017
Lund_00507,Body of water,Water resources,Stream,Watercourse,Water,Waterway,Natural landscape,River,Stream bed,Geological phenomenon,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
Lund_01791,Sky,Landmark,Architecture,Building,Medieval architecture,Historic site,Church,Wall,Place of worship,Cloud,Lund Cathedral,Bnapumup Poma, Nov 2016
Lund_02048,Classical architecture,Architecture,Building,Landmark,Facade,House,Column,Palace,Mansion,Window,Lundagérd 9,' Krist Kogi, Nov 2017
Lund_02625,Natural landscape,Nature,Natural environment,Water,Tree,Nature reserve,Bank,Vegetation,River,Wilderness,Rinnebiéck Gorge,% Daniel Nilsson, Nov 2017
Lund_02103,Landmark,Building,Sky,Architecture,Medieval architecture,Tower,Town,City,Wall,Church,Lund Cathedral,M Mara Maculevica, Nov 2016
Lund_01367,Medieval architecture,Classical architecture,Architecture,Landmark,Building,Gothic architecture,Place of worship,Cathedral,Facade,Historic site,[T T o1 T T T,Zoran Prole, Nov 2011
Lund_00949,Building,Estate,Mansion,Palace,Landmark,Stately home,Official residence,Classical architecture,Architecture,Château,Lundagérd H,«g T, Nov 2006
Lund_00770,Architecture,Medieval architecture,Building,Landmark,Place of worship,Classical architecture,Facade,Cathedral,Church,Gothic architecture,Lund Cathedral,S IR e T e, Nov 2017
Lund_02277,Red,Building,Wall,Facade,Architecture,Door,House,Roof,,,Bilia Toyota Lund ¢,@‘ Costa Richie, Nov 2017
Lund_00047,Natural landscape,Lawn,Grass,Garden,Tree,Public space,Spring,Botany,Botanical garden,Plant,Lund - Nov 2017,M) Manos Orfanos, Nov 2017
Lund_00873,Building,Estate,Architecture,Classical architecture,Property,Mansion,Palace,Official residence,House,Stately home,Lundagérd 9,i NS, Nov 2006
Lund_00054,Building,Architecture,Landmark,Sky,Church,Tree,Grass,Estate,House,Facade,Lund - Nov 2017,M) Manos Orfanos, Nov 2017
Lund_02387,Sky,Natural landscape,Cloud,Nature,Reflection,Natural environment,Water,Marsh,Nature reserve,Wetland,L TR TR,ﬁ{. Stefan Buttigieg, Nov 2017
Lund_01027,Body of water,Water resources,Natural landscape,Waterway,River,Watercourse,Bank,Stream,Nature,Water,Rinnebidck Gorge,a Daniel Nilsson, Nov 2017
Lund_00212,Town,Tree,Neighbourhood,Sky,Architecture,House,Building,Street,Urban area,City,,, Nov 2017
Lund_01585,Natural landscape,Body of water,Nature,Water,River,Watercourse,Waterway,Stream,Natural environment,Water resources,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
Lund_00748,Building,Classical architecture,Landmark,Palace,Architecture,Mansion,Estate,Stately home,Official residence,Château,% Bnapumup Poma,% Bnapumup Poma, Nov 2016
Lund_01612,Town,Building,Human settlement,City,Architecture,Plaza,Palace,Facade,Town square,House,,, Nov 2017
