,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
0,Lund_02806,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,Cathedral,Historic site,[T T VT,@ Adrian Popescu, Sep 2016,"Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,Cathedral,Historic site"
1,Lund_00903,Building,Landmark,Property,Estate,Architecture,Mansion,Palace,Classical architecture,Official residence,House,Lundagérd 9,.@ UIf Larsson, Sep 2018,"Building,Landmark,Property,Estate,Architecture,Mansion,Palace,Classical architecture,Official residence,House"
2,Lund_01268,Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace,Lundagérd,@ ST EE ), Sep 2007,"Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace"
3,Lund_02697,Property,Building,Interior design,Houseplant,Room,Furniture,Plant,House,Table,Restaurant,0spAB Plant Departr,D Day Time, Sep 2018,"Property,Building,Interior design,Houseplant,Room,Furniture,Plant,House,Table,Restaurant"
4,Lund_00437,Estate,Building,Palace,Mansion,Landmark,Property,Architecture,Château,Stately home,House,Lundagérd,E Eugenio Giudicia, Sep 2017,"Estate,Building,Palace,Mansion,Landmark,Property,Architecture,Château,Stately home,House"
5,Lund_00430,Building,Landmark,Mansion,Palace,Estate,Property,Classical architecture,Stately home,Official residence,Architecture,Lundagérd,T Tomas Johanssc, Sep 2018,"Building,Landmark,Mansion,Palace,Estate,Property,Classical architecture,Stately home,Official residence,Architecture"
6,Lund_02481,Building,Commercial building,Architecture,Corporate headquarters,Facade,Headquarters,Company,Mixed-use,Car,Vehicle,' Petar Novkovic,' Petar Novkovic, Sep 2016,"Building,Commercial building,Architecture,Corporate headquarters,Facade,Headquarters,Company,Mixed-use,Car,Vehicle"
7,Lund_02167,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Courthouse,Column,Seat of local government,Place of worship,Lundagérd 9,Dillon Cower, Sep 2018,"Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Courthouse,Column,Seat of local government,Place of worship"
8,Lund_02822,Landmark,Building,Tree,Tower,Architecture,Observation tower,Estate,Château,City,Landscape,Lundagérd 9,P Pulak Barua, Sep 2017,"Landmark,Building,Tree,Tower,Architecture,Observation tower,Estate,Château,City,Landscape"
9,Lund_02630,First-class cricket,Goal,Grass,Soccer,Sky,Sport venue,Team sport,Player,Sports equipment,Net,Klostergérdens IP,Florian Weissbac, Sep 2018,"First-class cricket,Goal,Grass,Soccer,Sky,Sport venue,Team sport,Player,Sports equipment,Net"
10,Lund_02292,Body of water,Water resources,Stream,Riparian zone,Watercourse,Nature,Waterway,Bank,River,Natural landscape,Rinnebick Gorge 2,M Maria Tracz, Sep 2016,"Body of water,Water resources,Stream,Riparian zone,Watercourse,Nature,Waterway,Bank,River,Natural landscape"
11,Lund_00822,Body of water,Reflection,Water,Nature,Waterway,Natural landscape,Tree,Bank,Canal,River,Botanical Garden,1“{ ) Danijel O'Rourke, Sep 2016,"Body of water,Reflection,Water,Nature,Waterway,Natural landscape,Tree,Bank,Canal,River"
12,Lund_02179,Building,Property,Architecture,Real estate,House,Home,Shade,,,,|2 ECEN TR 2 2 21 E,Thomas Boo, Sep 2018,
13,Lund_01097,Reflection,Nature,Water,Natural landscape,Pond,Vegetation,Green,Water resources,Waterway,Nature reserve,Botanical Garden,@ Hans Jirgen Klai, Sep 2018,"Reflection,Nature,Water,Natural landscape,Pond,Vegetation,Green,Water resources,Waterway,Nature reserve"
14,Lund_01062,House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,Sky,Plant,Lundagérd 9,i\ Bengt Jiirs, Sep 2013,"House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,Sky,Plant"
15,Lund_00799,Building,Landmark,Architecture,Medieval architecture,Facade,Church,Cathedral,Sky,Abbey,Place of worship,Lund Cathedral,"""R ET TS T", Sep 2016,"Building,Landmark,Architecture,Medieval architecture,Facade,Church,Cathedral,Sky,Abbey,Place of worship"
16,Lund_02166,Building,Architecture,Real estate,House,Mixed-use,Facade,Tourist attraction,,,,Scandic Star Lund,{l i ) Peter Simon, Sep 2017,
17,Lund_01484,Garden,Nature,Sky,Botanical garden,Natural landscape,Grass,Lawn,Botany,Wilderness,Tree,Stadsparken,Ingibjérg Magnui, Sep 2016,"Garden,Nature,Sky,Botanical garden,Natural landscape,Grass,Lawn,Botany,Wilderness,Tree"
18,Lund_00497,Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,Tourism,Church,Lund Cathedral ¢,Y U E T 7, Sep 2018,"Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,Tourism,Church"
19,Lund_02136,Landmark,Sky,Architecture,Building,Urban area,Town,City,Brick,Stately home,House,Lundagérd,Danijel O'Rourke, Sep 2016,"Landmark,Sky,Architecture,Building,Urban area,Town,City,Brick,Stately home,House"
20,Lund_00577,Estate,Mansion,Building,Stately home,Property,Palace,Architecture,Official residence,House,Château,Lundagérd 9,N> Noelia Vilalta, Sep 2017,"Estate,Mansion,Building,Stately home,Property,Palace,Architecture,Official residence,House,Château"
21,Lund_01540,Sky,Building,Yellow,Cloud,Architecture,City,Signage,House,Road,Gas,L E ),(UTEEIEY CERE, Sep 2017,"Sky,Building,Yellow,Cloud,Architecture,City,Signage,House,Road,Gas"
22,Lund_01020,Monument,Landmark,Memorial,Historic site,National historic landmark,Architecture,Building,Tourist attraction,Tower,,Sankt Hans Hill,Q KHADIJA SAIDI, Sep 2018,
23,Lund_02922,Body of water,Bank,Natural landscape,Nature,Vegetation,River,Nature reserve,Waterway,Natural environment,Water,Nobbelbvs mosse,Q Peter Nordensva, Sep 2016,"Body of water,Bank,Natural landscape,Nature,Vegetation,River,Nature reserve,Waterway,Natural environment,Water"
24,Lund_00890,Building,Architecture,Landmark,Sky,Tree,Church,Estate,House,City,Stately home,Lund Cathedral,C Carl O. Thygesen, Sep 2017,"Building,Architecture,Landmark,Sky,Tree,Church,Estate,House,City,Stately home"
25,Lund_00009,Building,Awning,Kiosk,,,,,,,,Ahlgrens Konfektyr,@ Hans Jirgen Klai, Sep 2018,
26,Lund_02085,Natural landscape,Nature,Body of water,Reflection,Tree,Leaf,Natural environment,Pond,Vegetation,Bank,Botanical Garden,Niaz Haq, Sep 2018,"Natural landscape,Nature,Body of water,Reflection,Tree,Leaf,Natural environment,Pond,Vegetation,Bank"
27,Lund_00305,Estate,Building,Property,Mansion,Landmark,Classical architecture,Palace,Stately home,Architecture,Official residence,University Hall audit,:Tﬁ Guillermo Fronte, Sep 2018,"Estate,Building,Property,Mansion,Landmark,Classical architecture,Palace,Stately home,Architecture,Official residence"
28,Lund_00166,Street,Alley,Road,Neighbourhood,Town,Lane,Urban area,Infrastructure,Human settlement,Building,e Saadiyah Darus,e Saadiyah Darus, Sep 2009,"Street,Alley,Road,Neighbourhood,Town,Lane,Urban area,Infrastructure,Human settlement,Building"
29,Lund_00682,Estate,Building,Landmark,Mansion,Palace,Architecture,Water,Stately home,Official residence,Tree,Lundagérd,ﬂ Dimitri Claerbout, Sep 2016,"Estate,Building,Landmark,Mansion,Palace,Architecture,Water,Stately home,Official residence,Tree"
30,Lund_03142,Bovine,Pasture,Bank,Waterway,Rural area,Water resources,Grass,Field,Working animal,Farm,ﬁ*j Chrispmusik,ﬁ*j Chrispmusik, Sep 2017,"Bovine,Pasture,Bank,Waterway,Rural area,Water resources,Grass,Field,Working animal,Farm"
31,Lund_01968,Building,Estate,Mansion,Palace,Architecture,Official residence,Stately home,Classical architecture,House,Tree,Lundagérd,Anna Honkanen, Sep 2017,"Building,Estate,Mansion,Palace,Architecture,Official residence,Stately home,Classical architecture,House,Tree"
32,Lund_00055,Tree,Woody plant,Leaf,Plant,Trunk,Botany,Grove,Branch,Grass,Woodland,e Saadiyah Darus,e Saadiyah Darus, Sep 2009,"Tree,Woody plant,Leaf,Plant,Trunk,Botany,Grove,Branch,Grass,Woodland"
33,Lund_00942,Landmark,Architecture,Sky,Building,City,Town,Church,Cathedral,Place of worship,Medieval architecture,Lund Cathedral ¢,Y Y 7, Sep 2018,"Landmark,Architecture,Sky,Building,City,Town,Church,Cathedral,Place of worship,Medieval architecture"
34,Lund_02177,Landmark,Architecture,Tower,Building,Tree,Observation tower,Medieval architecture,Historic site,Facade,Estate,Lundagérd 9,Jorn Green, Sep 2017,"Landmark,Architecture,Tower,Building,Tree,Observation tower,Medieval architecture,Historic site,Facade,Estate"
35,Lund_00091,Building,Town,Architecture,City,Town square,Human settlement,Public space,Plaza,Facade,Tree,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009,"Building,Town,Architecture,City,Town square,Human settlement,Public space,Plaza,Facade,Tree"
36,Lund_00606,Landmark,Architecture,Building,Medieval architecture,Sky,Church,Classical architecture,Place of worship,Cathedral,Historic site,Lund Cathedral,(Q 7 Paulina Belenitsk, Sep 2018,"Landmark,Architecture,Building,Medieval architecture,Sky,Church,Classical architecture,Place of worship,Cathedral,Historic site"
37,Lund_01436,Property,Building,Estate,Town,House,Architecture,Tree,Château,Sky,Stately home,Kulturen,Renee Petterssot, Sep 2017,"Property,Building,Estate,Town,House,Architecture,Tree,Château,Sky,Stately home"
38,Lund_01239,Building,Architecture,Landmark,Medieval architecture,Cathedral,Place of worship,Facade,City,Gothic architecture,Church,Lund Cathedral ¢,L Logan Leske, Sep 2017,"Building,Architecture,Landmark,Medieval architecture,Cathedral,Place of worship,Facade,City,Gothic architecture,Church"
39,Lund_01021,Landmark,Architecture,Building,City,Sky,Grass,Urban area,Campus,Church,Tree,Lundagérd c,L) Lurdes Otaegi, Sep 2016,"Landmark,Architecture,Building,City,Sky,Grass,Urban area,Campus,Church,Tree"
40,Lund_02226,Vegetation,Natural landscape,Hill,Highland,Biome,Pasture,Grassland,Rural area,Land lot,Grass,Rinnebick Gorge,Florian Weissbac, Sep 2017,"Vegetation,Natural landscape,Hill,Highland,Biome,Pasture,Grassland,Rural area,Land lot,Grass"
41,Lund_01754,Property,Building,Estate,Garden,Architecture,Botany,Mansion,Stately home,Botanical garden,Real estate,Lundagérd,“’ Adrian Popescu, Sep 2016,"Property,Building,Estate,Garden,Architecture,Botany,Mansion,Stately home,Botanical garden,Real estate"
42,Lund_02750,Factory,Industry,Steel,Machine,Metal,Building,Hall,,,,MAX IV Laboratory,""" John Eckerdal", Sep 2018,
43,Lund_00027,Building,Café,Coffeehouse,Restaurant,Glass,Fast food restaurant,,,,,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009,
44,Lund_01730,Water,Water resources,Pond,Reflecting pool,Fish pond,Reservoir,Lake,Reflection,Botany,Bank,Killbybadet,Aleksander Szyci, Sep 2018,"Water,Water resources,Pond,Reflecting pool,Fish pond,Reservoir,Lake,Reflection,Botany,Bank"
45,Lund_01641,Estate,Building,Property,Mansion,Landmark,Palace,Château,Stately home,Official residence,House,Lundagérd 9,dimitar vitev, Sep 2016,"Estate,Building,Property,Mansion,Landmark,Palace,Château,Stately home,Official residence,House"
46,Lund_02615,Body of water,Water resources,Natural landscape,Water,Nature,Reflection,River,Sky,Natural environment,Reservoir,Nobbelbvs mosse,f }l’ Gunilla Svartengi, Sep 2016,"Body of water,Water resources,Natural landscape,Water,Nature,Reflection,River,Sky,Natural environment,Reservoir"
47,Lund_00598,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Facade,Classical architecture,Cathedral,Gothic architecture,[T He 1 B,' Bartosz Klukacze, Sep 2014,"Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Facade,Classical architecture,Cathedral,Gothic architecture"
48,Lund_00174,Building,Architecture,Landmark,Tower,Sky,Church,Steeple,City,Place of worship,Cathedral,. ling zhang,. ling zhang, Sep 2015,"Building,Architecture,Landmark,Tower,Sky,Church,Steeple,City,Place of worship,Cathedral"
49,Lund_00838,Estate,Mansion,Property,Building,Palace,Manor house,House,Stately home,Château,Official residence,Lundagérd,U\ G IR G, Sep 2015,"Estate,Mansion,Property,Building,Palace,Manor house,House,Stately home,Château,Official residence"
50,Lund_00211,Street,Sky,Town,Neighbourhood,Road,Cobblestone,Alley,Lane,Urban area,Building,?3 Tomas Onofrej,?3 Tomas Onofrej, Sep 2015,"Street,Sky,Town,Neighbourhood,Road,Cobblestone,Alley,Lane,Urban area,Building"
51,Lund_01176,Landmark,Architecture,Classical architecture,Building,Palace,Tourism,Sky,Facade,Temple,Travel,Lundagérd 9,dimitar vitev, Sep 2016,"Landmark,Architecture,Classical architecture,Building,Palace,Tourism,Sky,Facade,Temple,Travel"
52,Lund_00254,Building,Landmark,Classical architecture,Architecture,Palace,Mansion,Estate,Official residence,Château,Presidential palace,Lundagérd 9,J Jaime Rios, Sep 2006,"Building,Landmark,Classical architecture,Architecture,Palace,Mansion,Estate,Official residence,Château,Presidential palace"
53,Lund_03198,Architecture,Building,Landmark,Medieval architecture,Cathedral,Place of worship,Gothic architecture,Church,Spire,City,[T T o1 T T T,Piyush Goyal, Sep 2018,"Architecture,Building,Landmark,Medieval architecture,Cathedral,Place of worship,Gothic architecture,Church,Spire,City"
54,Lund_01647,Building,Landmark,Mansion,Estate,Architecture,Palace,Stately home,Classical architecture,Official residence,House,Lundagérd 9,\g Piyush Goyal, Sep 2018,"Building,Landmark,Mansion,Estate,Architecture,Palace,Stately home,Classical architecture,Official residence,House"
