Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
27,Lund_01353,Landmark,Building,Architecture,Estate,Stately home,Sky,Tree,Monument,Mansion,National historic landmark,Lundagérd 9,Nadia Naji, Aug 2014
43,Lund_02401,Natural landscape,Sky,Water,Winter,Natural environment,Atmospheric phenomenon,Tree,Freezing,Cloud,Wetland,Nobbel6vs mosse,i\ 1T T, Feb 2014
47,Lund_02211,Natural landscape,Natural environment,Vegetation,Nature reserve,Nature,Marsh,Wetland,Freshwater marsh,Grassland,Fen,|G AT,L 1T T, Jul 2014
59,Lund_01670,Neighbourhood,Building,City,Town,Human settlement,Property,Landmark,Architecture,Public space,Plaza,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
80,Lund_02741,Natural landscape,Body of water,Nature,Water,Vegetation,Natural environment,Bank,Nature reserve,River,Water resources,Nobbel6vs mosse,L 1T T, Aug 2014
83,Lund_00401,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
130,Lund_01049,Landmark,Architecture,Building,Medieval architecture,Place of worship,Church,Sky,Tower,Classical architecture,Steeple,[T T o1 T T T,[T T o1 T T T, Jul 2014
138,Lund_00399,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
188,Lund_02229,Body of water,Natural landscape,Freshwater marsh,Natural environment,Water resources,Nature,Nature reserve,Vegetation,Water,Marsh,|G AT,L Bengt Jiirs, Jul 2014
214,Lund_01149,Mansion,Estate,Palace,Building,Architecture,Tree,Tourism,Villa,Château,Photography,Lundagérd,@ Thomas Kamph, Jun 2014
224,Lund_02375,Field,Sky,Land lot,Rural area,Farm,Tree,Grass family,Grass,Plain,Road,Nobbel6vs mosse,i\ 1T T, Aug 2014
233,Lund_00788,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,City,Monument,House,Palace,Lundagérd 8,@ Martin Giles, Mar 2014
243,Lund_02112,Property,Sky,Landmark,Building,Tree,Architecture,House,Estate,Town,Grass,Lundagérd 8,@ Martin Giles, Mar 2014
301,Lund_03168,Natural landscape,Vegetation,Nature,Nature reserve,Natural environment,Tree,Green,Grass,Bank,Biome,Nobbel6vs mosse,i\ 1T T, Jul 2014
309,Lund_02531,Water,Natural landscape,Water resources,Sky,Reflection,Natural environment,River,Bank,Morning,Wetland,L TR DR,L 1T T, Feb 2014
317,Lund_01329,Body of water,Water resources,Natural landscape,Nature,Natural environment,Sky,Water,Reflection,Marsh,Cloud,|G AT,L Bengt Jiirs, May 2014
327,Lund_01502,Property,Sky,Estate,House,Architecture,Tree,Building,Grass,Home,Mansion,Lundagérd 8,@ Martin Giles, Mar 2014
360,Lund_02443,Natural landscape,Body of water,Natural environment,Marsh,Nature,Freshwater marsh,Sky,Nature reserve,Wetland,Fen,Nobbel6vs mosse,i\ 1T T, Jun 2014
382,Lund_01504,Property,Sky,Estate,House,Architecture,Tree,Building,Grass,Home,Mansion,Lundagérd 8,@ Martin Giles, Mar 2014
408,Lund_00598,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Facade,Classical architecture,Cathedral,Gothic architecture,[T He 1 B,' Bartosz Klukacze, Sep 2014
425,Lund_00787,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,City,Monument,House,Palace,Lundagérd 8,@ Martin Giles, Mar 2014
434,Lund_02485,Field,Sky,Natural landscape,Farm,Rural area,Cloud,Tree,Hay,Plain,Grass family,Nobbel6vs mosse,i\ 1T T, Aug 2014
457,Lund_00020,Landmark,Estate,Building,Architecture,Tree,Mansion,Palace,Château,Stately home,Sky,Lund,@ Irena Zhang, Aug 2014
479,Lund_01680,Estate,Property,Building,Palace,Mansion,House,Official residence,Stately home,Architecture,Château,[TV T,Helen Lindholm, Aug 2014
482,Lund_02673,Natural environment,Natural landscape,Sky,Land lot,Pasture,Plain,Water,Wetland,Field,Tree,|G AT,L 1T T, Feb 2014
491,Lund_00454,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,Official residence,Lundagérd 8,@ Martin Giles, Mar 2014
595,Lund_02434,Natural landscape,Nature,Vegetation,Nature reserve,Green,Grass,Natural environment,Watercourse,Bank,Water resources,Rinnebick Gorge 2,L 1T T, May 2014
605,Lund_00953,Landmark,Mansion,Estate,Building,Architecture,Palace,Water,Tourism,Stately home,Château,Lundagérd,@ Thomas Kamph, Jun 2014
606,Lund_00404,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
612,Lund_00321,Medieval architecture,Building,Landmark,Architecture,Stately home,Castle,Estate,Mansion,Château,Historic site,Lundagérd,@ yunus samet hali, Jan 2014
621,Lund_00289,Landmark,Building,Architecture,Estate,Tree,Baptistery,Classical architecture,Mansion,Grass,Stately home,[T L He 1 BT,‘g) Bartosz Klukacze, Sep 2014
635,Lund_02088,Town,Building,Property,Human settlement,Mixed-use,Street,Neighbourhood,City,Cobblestone,Public space,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
657,Lund_02225,Natural landscape,Body of water,Water resources,Natural environment,Marsh,Water,Nature reserve,Nature,Freshwater marsh,Bank,|G AT,L Bengt Jiirs, Jul 2014
730,Lund_00451,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,Official residence,Lundagérd 8,@ Martin Giles, Mar 2014
747,Lund_01171,Public space,Town,Building,Wall,Tree,Palace,City,Architecture,Tourism,Campus,Lundagérd,Nadeem Ahmad, Jan 2014
771,Lund_01437,Property,Estate,Building,Landmark,Mansion,House,Architecture,Stately home,Palace,Manor house,Lundagard ¢,Dariusz, May 2014
774,Lund_01441,Building,Estate,Mansion,Landmark,Classical architecture,Palace,Château,Architecture,Stately home,Official residence,Lundagérd,Yaroslav Melekh, Apr 2014
849,Lund_03093,Sky,Morning,Grass,Evening,Rural area,Tree,Horizon,Landscape,Cloud,Pasture,|G AT,L Bengt Jiirs, Feb 2014
883,Lund_00267,Reflection,Building,Reflecting pool,Landmark,Estate,Architecture,Mansion,Palace,Water,Pond,Lundagérd 9,{DZ Arne Ayasrah, Jul 2014
895,Lund_02218,Natural landscape,Body of water,Natural environment,Water resources,Marsh,Nature,Nature reserve,Water,Wetland,Vegetation,N[ AT T T,i\ Bengt Jiirs, Jul 2014
900,Lund_01399,Natural landscape,Natural environment,Water resources,Wetland,Water,Nature reserve,Green,Marsh,Grassland,Fen,|G AT,L Bengt Jiirs, May 2014
901,Lund_00246,Landmark,Building,Estate,Palace,Official residence,Mansion,Stately home,Presidential palace,Classical architecture,Architecture,Lundagérd 8,g NI LYo, Jun 2014
914,Lund_00400,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
929,Lund_02181,Natural landscape,Nature,Sky,Natural environment,Field,Water,Green,Grassland,Paddy field,Nature reserve,Nobbel6vs mosse,L 1T T, Jul 2014
940,Lund_01118,Estate,Property,Building,Mansion,Architecture,House,Stately home,Palace,Manor house,Official residence,Lundagérd,@ yunus samet hali, Jan 2014
1022,Lund_02431,Freshwater marsh,Natural environment,Natural landscape,Wetland,Marsh,Nature reserve,Fen,Tidal marsh,Salt marsh,Bog,Nobbel6vs mosse,i\ 1T T, Jul 2014
