,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
0,Lund_02472,Sport venue,Stadium,Grass,Baseball field,Plain,Baseball park,Land lot,Grass family,Field,Plant,LELEITT RN {,ﬂ) Mr.Roman Lak, Apr 2017,"Sport venue,Stadium,Grass,Baseball field,Plain,Baseball park,Land lot,Grass family,Field,Plant"
1,Lund_00280,Castle,Property,Architecture,Building,Estate,Tree,Grass,Château,House,Stately home,Lundagérd,"%, Juliane Vigan6", Apr 2018,"Castle,Property,Architecture,Building,Estate,Tree,Grass,Château,House,Stately home"
2,Lund_02400,Transport,Mode of transport,Architecture,Vehicle,Urban area,Building,City,Facade,Street,Bus stop,Linero pub & pizzeri,LR R EFA ¢, Apr 2018,"Transport,Mode of transport,Architecture,Vehicle,Urban area,Building,City,Facade,Street,Bus stop"
3,Lund_02898,Town,Landmark,Building,Architecture,City,Human settlement,Street,Urban area,Town square,Sky,Lund Cathedral,M Magnus Zimmer, Apr 2018,"Town,Landmark,Building,Architecture,City,Human settlement,Street,Urban area,Town square,Sky"
4,Lund_02475,Natural landscape,Grassland,Pasture,Trail,Land lot,Road,Grass,Tree,Line,Rural area,Nobbelbvs mosse,g \) Emanuel Johans, Apr 2017,"Natural landscape,Grassland,Pasture,Trail,Land lot,Road,Grass,Tree,Line,Rural area"
5,Lund_01633,Architecture,Building,Medieval architecture,Landmark,Classical architecture,Place of worship,Cathedral,Gothic architecture,Facade,Church,Lund Cathedral,Erik Sven Mauroy, Apr 2017,"Architecture,Building,Medieval architecture,Landmark,Classical architecture,Place of worship,Cathedral,Gothic architecture,Facade,Church"
6,Lund_02812,Estate,Building,Mansion,Architecture,Landmark,Palace,Property,Stately home,Classical architecture,Sky,R LE O T,R LE O T, Apr 2017,"Estate,Building,Mansion,Architecture,Landmark,Palace,Property,Stately home,Classical architecture,Sky"
7,Lund_01510,Medieval architecture,Landmark,Architecture,Building,Cathedral,Gothic architecture,Facade,Sky,Place of worship,Historic site,[T T o1 T 1T,Andrew K, Apr 2017,"Medieval architecture,Landmark,Architecture,Building,Cathedral,Gothic architecture,Facade,Sky,Place of worship,Historic site"
8,Lund_03160,Nature,Natural landscape,Water,Sky,Vegetation,Highland,Tree,Wilderness,Natural environment,Watercourse,HSB BRF Linero I Lui,9 Travel to, Apr 2017,"Nature,Natural landscape,Water,Sky,Vegetation,Highland,Tree,Wilderness,Natural environment,Watercourse"
9,Lund_02850,Landmark,Architecture,Building,Water,Sky,Estate,Mansion,Tree,Palace,Stately home,Botanical Garden,Jens Jgrgen Lykk, Apr 2018,"Landmark,Architecture,Building,Water,Sky,Estate,Mansion,Tree,Palace,Stately home"
10,Lund_02243,Sport venue,Stadium,Grass,Plain,Land lot,Field,Grass family,Baseball field,Grassland,Baseball park,Rabysjon och Raby s,ﬂ) Mr.Roman Lak, Apr 2017,"Sport venue,Stadium,Grass,Plain,Land lot,Field,Grass family,Baseball field,Grassland,Baseball park"
11,Lund_01056,Water,Water resources,River,Reservoir,Natural environment,Bank,Sky,Lake,Bridge,Tree,[T ¢,. Sookyong Lee, Apr 2017,"Water,Water resources,River,Reservoir,Natural environment,Bank,Sky,Lake,Bridge,Tree"
12,Lund_00865,Estate,Building,Palace,Mansion,Stately home,Château,Landmark,Property,Manor house,Official residence,Lundagérd,M Marita Schiren, Apr 2017,"Estate,Building,Palace,Mansion,Stately home,Château,Landmark,Property,Manor house,Official residence"
13,Lund_02302,Body of water,Water resources,Water,Natural landscape,Natural environment,Bank,Reservoir,Fen,Freshwater marsh,Floodplain,Nobbelovs mosse,",‘%, Shaon Mazi", Apr 2017,"Body of water,Water resources,Water,Natural landscape,Natural environment,Bank,Reservoir,Fen,Freshwater marsh,Floodplain"
14,Lund_00635,Landmark,Architecture,Building,Medieval architecture,City,Facade,Tower,Cathedral,Steeple,Church,Lundagérd,@ 3Tl ), Apr 2018,"Landmark,Architecture,Building,Medieval architecture,City,Facade,Tower,Cathedral,Steeple,Church"
15,Lund_02805,Landmark,Architecture,Building,Medieval architecture,Church,Facade,Classical architecture,Place of worship,Sky,Historic site,Beautiful view from *,R Robbert Biere, Apr 2017,"Landmark,Architecture,Building,Medieval architecture,Church,Facade,Classical architecture,Place of worship,Sky,Historic site"
16,Lund_02554,Natural landscape,Natural environment,Sky,Land lot,Grassland,Prairie,Plain,Ecoregion,Grass family,Road,[T 3,Q’ Ani Vera, Apr 2018 I,"Natural landscape,Natural environment,Sky,Land lot,Grassland,Prairie,Plain,Ecoregion,Grass family,Road"
17,Lund_00102,Grassland,Land lot,Grass,Natural environment,Meadow,Pasture,Natural landscape,Road,Tree,Plain,[T G,% aysar Farman, Apr 2018,"Grassland,Land lot,Grass,Natural environment,Meadow,Pasture,Natural landscape,Road,Tree,Plain"
18,Lund_01538,Building,Architecture,Town,Sky,House,City,Facade,History,Street,Town square,Stadshall Lund,B Benoit Destrebec, Apr 2017,"Building,Architecture,Town,Sky,House,City,Facade,History,Street,Town square"
19,Lund_00355,Building,Estate,Property,Mansion,Château,Stately home,Manor house,Palace,Architecture,Historic house,Grand Hotel Lund,3‘ JY R T R, Apr 2017,"Building,Estate,Property,Mansion,Château,Stately home,Manor house,Palace,Architecture,Historic house"
20,Lund_01442,Pond,Bank,Natural landscape,Tree,Spring,Waterway,Botany,Botanical garden,Water,Garden,Botanical Garden,% watt, Apr 2018,"Pond,Bank,Natural landscape,Tree,Spring,Waterway,Botany,Botanical garden,Water,Garden"
21,Lund_02213,Body of water,Natural landscape,Water,Nature,Water resources,River,Watercourse,Sky,Stream,Bank,Rinnebick Gorge,Jacob Gradén, Apr 2017,"Body of water,Natural landscape,Water,Nature,Water resources,River,Watercourse,Sky,Stream,Bank"
22,Lund_00099,House,Property,Architecture,Building,Landmark,Estate,Mansion,Home,Tree,Sky,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018,"House,Property,Architecture,Building,Landmark,Estate,Mansion,Home,Tree,Sky"
23,Lund_01446,Building,Estate,Mansion,Stately home,Palace,Architecture,Sky,City,Tree,Official residence,Lundagérd 9,‘gp Patrizia Sichi, Apr 2018,"Building,Estate,Mansion,Stately home,Palace,Architecture,Sky,City,Tree,Official residence"
24,Lund_01429,Body of water,Natural landscape,Water resources,Water,Nature,Bank,Natural environment,Sky,River,Reflection,L TR TR,Emanuel Johans, Apr 2017,"Body of water,Natural landscape,Water resources,Water,Nature,Bank,Natural environment,Sky,River,Reflection"
25,Lund_00885,Public space,Building,Landmark,Daytime,City,Town,Human settlement,Estate,Tree,Campus,Lundagérd,y Jonathan Howes, Apr 2017,"Public space,Building,Landmark,Daytime,City,Town,Human settlement,Estate,Tree,Campus"
26,Lund_02724,Land lot,Road,Field,Soil,Plain,Line,Thoroughfare,Rural area,Infrastructure,Road surface,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017,"Land lot,Road,Field,Soil,Plain,Line,Thoroughfare,Rural area,Infrastructure,Road surface"
27,Lund_01413,Estate,Building,Mansion,Landmark,Property,House,Palace,Architecture,Official residence,Stately home,Kulturkrogen ¢,Jacen, Apr 2017,"Estate,Building,Mansion,Landmark,Property,House,Palace,Architecture,Official residence,Stately home"
28,Lund_00235,Estate,Building,Palace,Mansion,Landmark,Official residence,Stately home,Château,Architecture,Presidential palace,Lundagérd,y Jonathan Howes, Apr 2017,"Estate,Building,Palace,Mansion,Landmark,Official residence,Stately home,Château,Architecture,Presidential palace"
29,Lund_00026,Building,Landmark,Architecture,Church,Tree,Parish,Spire,Steeple,College,Estate,"%, Juliane Vigan6","%, Juliane Vigan6", Apr 2018,"Building,Landmark,Architecture,Church,Tree,Parish,Spire,Steeple,College,Estate"
30,Lund_01804,Building,Grass,Tree,Architecture,Public space,Campus,Spring,Estate,City,Lawn,Lundagérd 9,2 Nl, Apr 2018,"Building,Grass,Tree,Architecture,Public space,Campus,Spring,Estate,City,Lawn"
31,Lund_00312,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Place of worship,Sky,Cathedral,Facade,Gothic architecture,[T T o1 T T T,b melonhayes, Apr 2017,"Landmark,Architecture,Building,Classical architecture,Medieval architecture,Place of worship,Sky,Cathedral,Facade,Gothic architecture"
32,Lund_00965,Medieval architecture,Landmark,Architecture,Building,Gothic architecture,Cathedral,Place of worship,Classical architecture,Facade,Steeple,[T T o1 T 1T,PRI RN, Apr 2018,"Medieval architecture,Landmark,Architecture,Building,Gothic architecture,Cathedral,Place of worship,Classical architecture,Facade,Steeple"
33,Lund_03166,Natural landscape,Nature,Vegetation,Green,Nature reserve,Natural environment,Grass,Tree,Sky,Wilderness,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017,"Natural landscape,Nature,Vegetation,Green,Nature reserve,Natural environment,Grass,Tree,Sky,Wilderness"
