[English],3,1,,5,"October 12, 2018 ",Super destination,,"A ""Lanthandel"" is the traditional countryside store where the locals could buy everything they needed. 

This since a few years this has become a reality in Torna Hällestad. With focus on local produce, often ecological they offer a surprisingly large selection of food and other...More"
[English],3,14,10,4,"September 2, 2018 ",Try village dining,"Lund, Sweden","The recently opened restaurant part of this unique country shop is a different dining experience to most. You become part of a small Swedish village for the evening, without compromising on quality. The streamlined menu offers a choice of animal or vegetable based dishes in...More"
[English],3,274,140,4,"July 13, 2018 ",A gem in the desert,"Lund, Sweden",The Lanthandel in Torna Hällestad is a little jewel of a bakery-cum-countryside shop where you can also have a generous brunch on week-ends. The staff are nice and their specialty coffees are a nice surprise in this out-of-the-trodden-path part of the world.
[Swedish],17,33,1,4,"December 3, 2018 ",Mysig atmosfär ,"Skane County, Sweden","Frugan överraskar med ett besök på bröllopsdagen
Fantastiskt mysigt och avslappnad miljö
Åt trerätters meny med hummersoppa, högrev och creme...More"
[Swedish],17,62,19,5,"November 10, 2018 ",En unik restaurang,"Malmo, Sweden",Om du vill äta mat av högsta kvalitet på en helt unik restaurang med en toppen köksmästare och lokalt driven...More
[Swedish],17,1,,5,"October 20, 2018 ",Restaurang med mat i toppklass!,"Veberod, Sweden",Rekommenderar varmt ett besök på denna restaurang. Vi gjorde ett familjebesök där både vegetarisk och vanlig trerätters meny intogs. Maten...More
[Swedish],17,16,12,2,"October 14, 2018 ",Magert utbud och trångt,,"Var på brunch med familjen och svärföräldrarna som var nere i Skåne. 

Det började med att det inte fanns lediga...More"
[Swedish],17,1,2,5,"September 2, 2018 ",Helgmiddag med mycket god mat i lantlig och genuin miljö,"Lund, Sweden",Ett mycket trevligt ställe med en kock som har respekt för råvaror och som brinner för att laga mat från...More
[Swedish],17,10,5,5,"August 12, 2018 ",Härlig matupplevelse i lantlig och avslappad miljö,"Sodra Sandby, Sweden",Vi var där med ett sällskap. Lanthandeln erbjuder en meny till rimlig pris med riktig god mat. Kan varmt rekommenderas.
[Swedish],17,55,12,4,"February 6, 2018 ",Bohemiskt men äkta och trevlig ställe,"Lund, Sweden",Åt brunch på lanthandeln i Torna Hällesta. Gruppen var olika nöjda men du ska redan innan veta att det inte...More
[Swedish],17,4,3,1,"November 17, 2017 ",Brunch,,"Mysigt lantligt men kallt och en riktigt dålig brunch, väldigt litet utbud. 
Inte mycket att tillägga rekommenderar inte detta om...More"
[Swedish],17,25,8,4,"October 20, 2017 ",Lördagsbrunch,Sweden,Vi har ätit en del bruncher i Skåne och detta var nog den hemtrevligaste hitintills. Inte jättestort utbud men allt...More
[Swedish],17,26,6,4,"August 26, 2017 ",Mysigt och vänligt ,,"Byborna driver lanthandeln själva. 
Därför kanske inte så proffsigt men desto mer hjärtligt. 
Spännande utbud i butiken och rasande goda...More"
