a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02497,Natural landscape,Geological phenomenon,Land lot,Rural area,Grass,Pasture,Bank,Ditch,Hill,Soil,Rinnebick Gorge,{5@ (V=G, Jan 2018
Lund_02377,Home,Property,House,Lighting,Building,Sky,Real estate,Night,Architecture,Cottage,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
Lund_02592,Natural landscape,Pasture,Land lot,Natural environment,Field,Rural area,Fence,Tree,Farm,Grassland,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_01173,Landmark,Building,Town,Public space,Human settlement,Tree,City,College,Stately home,Architecture,Lundagérd,Ivan Anikienko, Jan 2018
Lund_02079,Town,Building,Architecture,City,House,Medieval architecture,Almshouse,Facade,Street,History,Lund Botulfsplatsen,Joseph Mukama, Jan 2018
Lund_03104,Natural landscape,Body of water,Nature,Water resources,Bank,Green,Water,Vegetation,Nature reserve,Riparian forest,Rinnebick Gorge,(é\; NG T LR, Jan 2007
Lund_02376,Home,Property,House,Lighting,Building,Sky,Real estate,Night,Architecture,Cottage,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
Lund_03079,Home,Property,House,Lighting,Building,Sky,Real estate,Night,Architecture,Cottage,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
Lund_02008,Landmark,Building,Architecture,Tree,Urban area,Medieval architecture,Stately home,House,City,Sky,Chateau Lund 8,@ (T QT T, Jan 2017
Lund_02620,Natural landscape,Natural environment,Water,Nature reserve,Freshwater marsh,Marsh,Tree,Fen,Wetland,Bank,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_02775,Sky,Landmark,Tree,Church,Spire,Architecture,Winter,Branch,Woody plant,Dusk,Stefan Larsson,Stefan Larsson, Jan 2017
Lund_01636,Landmark,Building,Architecture,Palace,Mansion,Stately home,Estate,Tree,House,Château,Lundagérd,Vincent Séguin, Jan 2015
Lund_02963,Building,Warehouse,Product,Inventory,Retail,Outlet store,Grocery store,Aisle,,,Biltema,‘ oA, Jan 2018
Lund_03068,Property,Rural area,Land lot,Building,Landscape,Shade,Roof,Shed,House,,Rosa Tornet Montes:,S ) Sookyong Lee, Jan 2017
Lund_00321,Medieval architecture,Building,Landmark,Architecture,Stately home,Castle,Estate,Mansion,Château,Historic site,Lundagérd,@ yunus samet hali, Jan 2014
Lund_00459,Building,Property,Estate,Landmark,Mansion,House,Architecture,Palace,Manor house,Stately home,Lundagérd,m Marleen Heyvaer, Jan 2006
Lund_00128,Architecture,Town,Building,Landmark,Brick,Facade,Wall,Tourism,City,Sky,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_02455,House,Architecture,Building,Property,Wall,Neighbourhood,Home,Facade,Real estate,Residential area,Greenhouse,N ' New Greenhouse, Jan 2018
Lund_01171,Public space,Town,Building,Wall,Tree,Palace,City,Architecture,Tourism,Campus,Lundagérd,Nadeem Ahmad, Jan 2014
Lund_02864,Winter,Landmark,Property,Snow,Building,Architecture,Tree,Home,Freezing,Town,Grand Hotel Lund ¢,@ Roger Olsson, Jan 2017
Lund_02890,Garden,Sky,Tree,Grass,Cloud,Spring,Park,Botany,Water,Leaf,Stadsparken ¢,ﬁ John Eckerdal, Jan 2018
Lund_01814,Landmark,Architecture,Building,Medieval architecture,Baptistery,Church,Tree,Place of worship,Cathedral,City,Lundagérd,Risto Lazarevic, Jan 2018
Lund_01111,Classical architecture,Building,Landmark,Architecture,Palace,Estate,Château,Official residence,Mansion,Facade,Lunds universitet pa,@ (T QT T, Jan 2017
Lund_02701,Snow,Winter,Freezing,Atmospheric phenomenon,Tree,Sky,Winter storm,Blizzard,Frost,Thoroughfare,Klosteréngshojden,Q Peter Nordensva, Jan 2017
