[English],3,686,148,4,"August 26, 2018 ",Lovely Ivy,"Kingston-upon-Hull, United Kingdom","This is an impressive building! I would have loved to have gone inside. I loved how the ivy covered the building. Located right by the cathedral, its worth wondering around the old university buildings."
[English],3,420,229,4,"March 5, 2018 ",Pretty and hard to miss,,If you are in the center of Lund it will be really hard for you to miss it. Easy to take some nice photos. There is some history to the building if one might be interested in that. If you are in Lund sort of...More
[English],3,181,24,4,"September 17, 2016 ",The universities oldest building,"Lund, Sweden",This is Lund Universities oldest building. It is currently closed since the philosophical department moved to Lux. It will be renovated and open sometime in the future. Lund University is celebrating its 350 year anniversary from December 2016-January2018 and nothing will be done before this....More
[Swedish],5,39,4,5,"October 15, 2018 ",Filosofernas näste,"Jonkoping, Sweden","Hit gick man till Filosoficirkeln! Mäktig byggnad med mytologi.

Fantastisk trappa. Stora salar. Klassiskt!"
[Swedish],5,42,7,4,"August 10, 2018 ",Man har inte sett Lund om man inte sett Kungshuset,"Lund, Sweden","Även om Kungshuset för närvarande är stängt, kan man se det från utsidan (och slippa den unkna luften som huset...More"
[Swedish],5,58,23,4,"September 8, 2017 ","Kungshuset, ett av Lunds mest kända hus",,"Bara en promenad kring huset i anrika Lundagård är en upplevelse i sig, men nu i september 2017 finns också...More"
[Swedish],5,129,21,3,"September 5, 2016 ",Om du är i närheten,"Gavleborg County, Sweden",Om du ändå ska besöka Domkyrkan så ta de få stegen hit. Som flera andra byggnader i detta område är...More
[Swedish],5,193,21,3,"July 15, 2016 ",Fint hus,"Lund, Sweden",Kungshuset är ett fint hus hus med anor och historier. Det lär vara någon kung som red med sin häst...More
"[Chinese, (Sim.)]",1,,,5,"July 16, 2017 ",玩,,很好，我觉得不错。不过是只看风景！！！那...More
[Danish],1,524,130,4,"August 1, 2016 ",Flot bygning,"Copenhagen, Denmark","Vi gik kun rundt om, men Kungshuset er en rigtig flot bygning. Den blev opført fra 1578-84. Biskoppen Peder Winstrup...More"
[Italian],1,1501,318,4,"November 25, 2018 ",La sede antica,"Trieste, Italy","Di fronte all’edificio principale dell’Università, in stile neoclassico, questo imponente edificio in laterizi dalla facciata coperta di edera. Sede più...More"
[Polish],1,659,157,3,"September 20, 2016 ",Ciekawe miejsce,"Gdansk, Poland","Budynki uniwersytetu w Lund, jako najstarszego uniwersytetu są atrakcją nie do pominięcia przy zwiedzaniu tego miasta. Jednakże w skali europejskiej...More"
