a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00983,Landmark,Building,Architecture,Steeple,Church,Town,Cathedral,City,Sky,Place of worship,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_01680,Estate,Property,Building,Palace,Mansion,House,,,,,[TV T,Helen Lindholm, Aug 2014
Lund_02159,Building,Landmark,Architecture,Town,City,Human settlement,,,,,Lundagérd 9,éb e, Aug 2014
Lund_01391,Property,Building,House,Home,Town,Architecture,,,,,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_01471,Estate,Building,Mansion,Palace,Property,Stately home,Château,Official residence,Landmark,Manor house,Lundagérd,umberto mazzoc, Aug 2014
Lund_00548,Landmark,Architecture,Building,Sky,City,,,,,,Lund Cathedral,"f“""‘ Benjamin Zingse", Aug 2017
Lund_02627,Land lot,Tree,Fence,Rural area,,,,,,,Rinnebick Gorge,Florian Weissbac, Aug 2018
Lund_01478,Landmark,Medieval architecture,Building,Architecture,Steeple,Town,,,,,Lund Cathedral,Gabriele Kreiner, Aug 2017
Lund_02800,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Cathedral,Sky,Church,Steeple,Lund,ﬁ’ Viadislav Juricky, Aug 2013
Lund_00870,Building,Estate,Property,Mansion,House,Architecture,Landmark,Stately home,Home,,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_02757,Body of water,Water,Bank,Natural landscape,Water resources,Lake,Vegetation,Reservoir,Natural environment,Pond,Alexanders Golv & K,zg{ Bygg Alexander, Aug 2016
Lund_01955,Building,Landmark,Palace,Estate,Architecture,Mansion,Official residence,,,,Lundagérd 9,Luisa Cunial, Aug 2018
Lund_00298,Estate,Palace,Building,Mansion,Property,Official residence,Stately home,Château,Architecture,,g’ Vladislav Juricky,g’ Vladislav Juricky, Aug 2013
Lund_02145,Natural landscape,Nature,Vegetation,Nature reserve,Tree,Natural environment,Bank,Waterway,Canal,Wilderness,Botanical Garden,Dennis Svartek, Aug 2017
Lund_01826,White,Black,Mansion,Building,Black-and-white,Estate,Landmark,House,Property,Monochrome,Lundagérd,B Benjamin Kiintze, Aug 2018
Lund_02708,Sky,Vegetation,Hill,Grassland,Grass,Cloud,Meadow,Land lot,Rural area,,Klosteréingshdjden,Klosteréingshdjden, Aug 2016
Lund_00466,Building,Landmark,Palace,Architecture,Château,Facade,Estate,,,,Lundagérd,G  Giliana Gallegra, Aug 2018
